[RANK 0] 2025-04-20 20:26:10,927 - INFO - [Epoch 1 | Step 57] Loss: 1.1451 | Total samples 3648 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:15,625 - INFO - [Epoch 1 | Step 58] Loss: 1.1814 | Total samples 3712 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:20,322 - INFO - [Epoch 1 | Step 59] Loss: 1.3485 | Total samples 3776 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:25,010 - INFO - [Epoch 1 | Step 60] Loss: 1.1820 | Total samples 3840 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:29,690 - INFO - [Epoch 1 | Step 61] Loss: 1.1715 | Total samples 3904 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:34,366 - INFO - [Epoch 1 | Step 62] Loss: 1.0522 | Total samples 3968 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:39,047 - INFO - [Epoch 1 | Step 63] Loss: 1.1051 | Total samples 4032 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:43,721 - INFO - [Epoch 1 | Step 64] Loss: 1.1716 | Total samples 4096 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:48,401 - INFO - [Epoch 1 | Step 65] Loss: 1.4760 | Total samples 4160 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:53,078 - INFO - [Epoch 1 | Step 66] Loss: 1.3435 | Total samples 4224 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:26:57,758 - INFO - [Epoch 1 | Step 67] Loss: 1.1592 | Total samples 4288 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:02,435 - INFO - [Epoch 1 | Step 68] Loss: 0.7276 | Total samples 4352 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:07,118 - INFO - [Epoch 1 | Step 69] Loss: 1.2489 | Total samples 4416 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:11,797 - INFO - [Epoch 1 | Step 70] Loss: 1.1732 | Total samples 4480 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:16,478 - INFO - [Epoch 1 | Step 71] Loss: 1.2302 | Total samples 4544 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:21,175 - INFO - [Epoch 1 | Step 72] Loss: 1.5212 | Total samples 4608 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:25,853 - INFO - [Epoch 1 | Step 73] Loss: 0.8893 | Total samples 4672 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:30,531 - INFO - [Epoch 1 | Step 74] Loss: 0.7538 | Total samples 4736 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:35,230 - INFO - [Epoch 1 | Step 75] Loss: 0.7321 | Total samples 4800 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:39,973 - INFO - [Epoch 1 | Step 76] Loss: 1.3352 | Total samples 4864 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:44,659 - INFO - [Epoch 1 | Step 77] Loss: 1.1479 | Total samples 4928 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:49,334 - INFO - [Epoch 1 | Step 78] Loss: 0.6576 | Total samples 4992 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:54,008 - INFO - [Epoch 1 | Step 79] Loss: 1.3910 | Total samples 5056 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:27:58,680 - INFO - [Epoch 1 | Step 80] Loss: 1.0470 | Total samples 5120 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:03,369 - INFO - [Epoch 1 | Step 81] Loss: 0.6523 | Total samples 5184 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:08,053 - INFO - [Epoch 1 | Step 82] Loss: 1.1042 | Total samples 5248 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:12,772 - INFO - [Epoch 1 | Step 83] Loss: 0.7920 | Total samples 5312 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:17,491 - INFO - [Epoch 1 | Step 84] Loss: 0.7241 | Total samples 5376 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:22,168 - INFO - [Epoch 1 | Step 85] Loss: 1.0711 | Total samples 5440 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:26,843 - INFO - [Epoch 1 | Step 86] Loss: 0.8930 | Total samples 5504 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:31,516 - INFO - [Epoch 1 | Step 87] Loss: 1.0639 | Total samples 5568 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:36,193 - INFO - [Epoch 1 | Step 88] Loss: 1.1438 | Total samples 5632 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:40,869 - INFO - [Epoch 1 | Step 89] Loss: 0.9010 | Total samples 5696 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:45,543 - INFO - [Epoch 1 | Step 90] Loss: 0.9437 | Total samples 5760 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:50,219 - INFO - [Epoch 1 | Step 91] Loss: 1.0710 | Total samples 5824 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:54,892 - INFO - [Epoch 1 | Step 92] Loss: 1.1012 | Total samples 5888 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:28:59,567 - INFO - [Epoch 1 | Step 93] Loss: 0.9947 | Total samples 5952 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:04,244 - INFO - [Epoch 1 | Step 94] Loss: 0.7625 | Total samples 6016 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:08,917 - INFO - [Epoch 1 | Step 95] Loss: 0.8049 | Total samples 6080 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:13,598 - INFO - [Epoch 1 | Step 96] Loss: 1.0282 | Total samples 6144 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:18,323 - INFO - [Epoch 1 | Step 97] Loss: 0.8821 | Total samples 6208 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:23,013 - INFO - [Epoch 1 | Step 98] Loss: 1.0629 | Total samples 6272 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
[RANK 0] 2025-04-20 20:29:27,692 - INFO - [Epoch 1 | Step 99] Loss: 0.8205 | Total samples 6336 | Mem Alloc: 2627.6 MB | Mem Reserved: 7636.0 MB | GPU Util: 100%
